run,lead,threshold,tp,fp,fn,actual_frequency,forecast_frequency,recall,precision,csi
glstm_sweep_20260907_100511,5,1.0,42792,73830,0,0.36692905283737204,1.0,1.0,0.36692905283737204,0.36692905283737204
glstm_sweep_20260907_100511,5,10.0,12883,75878,3458,0.14011935998353656,0.7610999639862118,0.7883850437549722,0.1451425738781672,0.13970006180938851
glstm_sweep_20260907_100511,5,35.0,0,0,2902,0.024883812659704,0.0,0.0,,0.0
glstm_sweep_20260907_114458,all,1.0,213684,369426,0,0.36645572876472704,1.0,1.0,0.36645572876472704,0.36645572876472704
glstm_sweep_20260907_114458,all,10.0,76127,417737,5389,0.13979523589031229,0.8469482601910445,0.9338902792089896,0.15414567573259036,0.1524818078208844
glstm_sweep_20260907_114458,all,35.0,0,0,14492,0.024852943698444548,0.0,0.0,,0.0
glstm_sweep_20260907_114458,1,1.0,42673,73949,0,0.36590866217351786,1.0,1.0,0.36590866217351786,0.36590866217351786
glstm_sweep_20260907_114458,1,10.0,12078,31299,4165,0.13927903826036253,0.37194525904203324,0.743581850643354,0.27844249256518433,0.25404905136510875
glstm_sweep_20260907_114458,1,35.0,0,0,2894,0.024815214968016325,0.0,0.0,,0.0
glstm_sweep_20260907_114458,2,1.0,42704,73918,0,0.3661744782288076,1.0,1.0,0.3661744782288076,0.3661744782288076
glstm_sweep_20260907_114458,2,10.0,15097,85955,1189,0.1396477508531838,0.8664917425528631,0.9269925089033526,0.14939832957289317,0.14766091880947957
glstm_sweep_20260907_114458,2,35.0,0,0,2896,0.024832364390938246,0.0,0.0,,0.0
glstm_sweep_20260907_114458,3,1.0,42749,73873,0,0.36656034024455075,1.0,1.0,0.36656034024455075,0.36656034024455075
glstm_sweep_20260907_114458,3,10.0,16280,99915,35,0.13989641748555162,0.9963385982061703,0.9978547349065278,0.14010929902319377,0.14006710831971092
glstm_sweep_20260907_114458,3,35.0,0,0,2900,0.02486666323678208,0.0,0.0,,0.0
glstm_sweep_20260907_114458,4,1.0,42766,73856,0,0.3667061103393871,1.0,1.0,0.3667061103393871,0.3667061103393871
glstm_sweep_20260907_114458,4,10.0,16331,100289,0,0.14003361286892696,0.999982850577078,1.0,0.1400360144057623,0.1400360144057623
glstm_sweep_20260907_114458,4,35.0,0,0,2900,0.02486666323678208,0.0,0.0,,0.0
glstm_sweep_20260907_114458,5,1.0,42792,73830,0,0.36692905283737204,1.0,1.0,0.36692905283737204,0.36692905283737204
glstm_sweep_20260907_114458,5,10.0,16341,100279,0,0.14011935998353656,0.999982850577078,1.0,0.14012176299091064,0.14012176299091064
glstm_sweep_20260907_114458,5,35.0,0,0,2902,0.024883812659704,0.0,0.0,,0.0
glstm_sweep_20260907_121609,all,1.0,213566,367871,118,0.36645572876472704,0.997130901545163,0.999447782707175,0.36730720611175416,0.3672326779066468
