run,lead,subset,n,rmse,mae,bias,r2,actual_mean,predicted_mean,actual_std,predicted_std,predicted_min,predicted_max,corr
glstm_sweep_20260907_100511,all,dry_le_1,369426,13.955005737986955,12.822115121508453,12.822114216517411,-3594.553771055258,0.13282398584502592,12.954938202362436,0.2327271898085472,5.5166319947201865,0.5266590118408203,31.584774017333984,0.059125267087864745
glstm_sweep_20260907_100511,all,wet_gt_1,213684,14.683499006718375,10.99386759729091,2.6877321114495873,-0.10949708868844676,11.830313203085817,14.518045314535405,13.940118793116005,5.423041045329185,0.7627511024475098,32.99337387084961,0.10155744992847264
glstm_sweep_20260907_100511,all,heavy_gt_35,14492,39.13368103554085,35.367630505163696,-35.367630505163696,-4.681034434804794,51.274194885873015,15.906564380709321,16.418632800459527,5.6797244903086295,1.9738373756408687,31.864526748657227,0.11396415470348371
glstm_sweep_20260907_100511,1,all,116622,12.655437926756683,10.108143294670825,7.465070104508434,-0.5576811715556715,4.407410271058054,11.872480375566488,10.139998547982739,7.270524202407722,0.5266590118408203,32.99337387084961,0.34756576909354037
glstm_sweep_20260907_100511,1,dry_le_1,73949,11.252473682721764,9.37482249354247,9.374817972491194,-2334.4528928242967,0.13293212312145034,9.507750095612643,0.23284260529106435,6.277696332094385,0.5266590118408203,31.584774017333984,0.2506421802523796
glstm_sweep_20260907_100511,1,wet_gt_1,42673,14.774494884514207,11.378931379001449,4.155625137211616,-0.12302607658515186,11.814749444815792,15.970374582027407,13.941763831394631,7.048900550996651,0.7627511024475098,32.99337387084961,0.218996133970999
glstm_sweep_20260907_100511,1,heavy_gt_35,2894,35.636981808546295,31.59203486691365,-31.59203486691365,-3.708198113094329,51.28706069608845,19.695025829174803,16.423796335266896,6.569733365247524,1.9738373756408687,31.864526748657227,0.1898271144474072
glstm_sweep_20260907_100511,2,all,116622,14.47166434013949,12.530174960744343,9.497491127143103,-1.0342699572149385,4.415427355926493,13.912918483069596,10.146451602036866,5.14748050451458,4.722527027130127,31.7910213470459,0.09784191513675405
glstm_sweep_20260907_100511,2,dry_le_1,73918,14.342947096617424,13.398141312358565,13.398141312358565,-3795.1990659850444,0.13286875047680877,13.531010062835373,0.23278977874773069,5.124153168303217,4.722527027130127,30.95151138305664,0.042417714702886716
glstm_sweep_20260907_100511,2,wet_gt_1,42704,14.691800823551699,11.027778539364148,2.7457053368012976,-0.1105549070888403,11.828273154859374,14.573978491660672,13.941355903585903,5.120726584845626,4.9571380615234375,31.7910213470459,0.08595849267292018
glstm_sweep_20260907_100511,2,heavy_gt_35,2896,39.256157822539876,35.52978414922788,-35.52978414922788,-4.713847489492892,51.27695828116401,15.74717413193613,16.422658756209945,5.213055187421792,5.359692573547363,30.329082489013672,0.1062891392593837
glstm_sweep_20260907_100511,3,all,116622,14.855832039180488,12.912363331142616,9.820466520712237,-1.1413686383550115,4.4219171856184465,14.242383706330685,10.151991878695256,5.09715997485394,5.882246971130371,31.11354255676269,0.04628150760403135
glstm_sweep_20260907_100511,3,dry_le_1,73873,14.912862454398104,14.00277365259175,14.00277365259175,-4105.152014902749,0.13283363668021356,14.135607289271965,0.23272524733013944,5.123468375885108,5.903558254241943,31.080034255981445,-0.004909328671825443
glstm_sweep_20260907_100511,3,wet_gt_1,42749,14.756760326592095,11.028064711843642,2.5931729055788955,-0.12049824068608239,11.833727263297785,14.426900168876681,13.94072737484442,5.046051444609748,5.882246971130371,31.11354255676269,0.062328574025732664
glstm_sweep_20260907_100511,3,heavy_gt_35,2900,39.77081020989498,36.098551874325196,-36.098551874325196,-4.869017362998247,51.271329908699826,15.172778034374632,16.416544239045663,5.135850951469791,6.332335948944092,30.80904960632324,0.10240418389738354
glstm_sweep_20260907_100511,4,all,116622,14.741477775702753,12.800026570588825,9.621342083138293,-1.1077166470434525,4.425001903590262,14.046343986728555,10.153947397315038,4.918900023269211,6.089015007019043,30.73750686645508,0.02560033584737504
glstm_sweep_20260907_100511,4,dry_le_1,73856,14.764952858560125,13.900925613791268,13.900925613791268,-4027.3697122924723,0.13273887568681245,14.03366448947808,0.2326309014983144,4.968119281033183,6.089015007019043,30.73750686645508,-0.013746050832657052
glstm_sweep_20260907_100511,4,wet_gt_1,42766,14.700848522477743,10.898796627766032,2.2305895872325263,-0.11226931471438606,11.837651629747423,14.06824121697995,13.93918636554045,4.8326408210697736,6.192471504211426,30.53706359863281,0.04836415113236353
glstm_sweep_20260907_100511,4,heavy_gt_35,2900,40.24888096999333,36.609837138899444,-36.609837138899444,-5.010964151220788,51.271329908699826,14.661492769800384,16.416544239045663,5.093355840501686,6.467069625854492,29.75273323059082,0.09419899343532756
glstm_sweep_20260907_100511,5,all,116622,14.29480981071198,12.410008556148414,9.137189347620794,-0.981311726905129,4.427422892139428,13.564612239760223,10.155515574357501,4.463569051240595,6.33580207824707,28.596240997314453,0.024317167919135452
glstm_sweep_20260907_100511,5,dry_le_1,73830,14.17913087964862,13.437714785404456,13.437714785404456,-3713.5317885900386,0.13274633995840482,13.570461125362861,0.2326470615717499,4.515564915106808,6.33580207824707,28.596240997314453,-0.014812810843043584
glstm_sweep_20260907_100511,5,wet_gt_1,42792,14.492222575134125,10.636883885509658,1.7173960901996002,-0.08117710382198862,11.83712493568787,13.55452102588747,13.937554396734487,4.372387563396348,6.423497200012207,27.80077743530273,0.051674511606207556
glstm_sweep_20260907_100511,5,heavy_gt_35,2902,40.544907892905705,36.9992313375151,-36.9992313375151,-5.101876417243577,51.26433286660298,14.265101529087879,16.41362906142529,4.419397546249793,6.635404586791992,26.85582733154297,0.09644454812528222
glstm_sweep_20260907_114458,all,all,583110,12.991098610410923,11.283391885696442,8.154512960609743,-0.6383065743077365,4.419435921666537,12.57394888227628,10.149585170956659,3.599985663724043,2.00563907623291,28.22922706604004,0.18749355506509616
glstm_sweep_20260907_114458,all,dry_le_1,369426,12.408125914861547,11.88098582269287,11.88098582269287,-2841.6155868483165,0.13282398584502592,12.013809808537895,0.2327271898085472,3.5904412528180436,2.00563907623291,28.146656036376957,0.08476954894527487
